OverallQual,Neighborhood_encoded,GrLivArea,YearBuilt,TotalBsmtSF,GarageArea,GarageCars,1stFlrSF,MSSubClass_encoded,ExterQual_TA,YrSold
0.6666666666666665,0.4168060890957604,0.2592313489073097,0.9492753623188417,0.14009819967266776,0.38645980253878703,0.5,0.11977971546581001,1.0,0.0,0.5
0.5555555555555556,0.5741920842564892,0.17483044461190655,0.7536231884057969,0.2065466448445172,0.3244005641748942,0.5,0.21294171638366224,0.6178518387778646,1.0,0.25
0.6666666666666665,0.4168060890957604,0.27354935945742276,0.9347826086956523,0.15057283142389527,0.4287729196050776,0.5,0.13446535107847638,1.0,0.0,0.5
0.6666666666666665,0.4699984900015722,0.2605501130369254,0.3115942028985508,0.12373158756137481,0.4527503526093089,0.75,0.14387333639284075,0.49023100837893807,1.0,0.0
0.7777777777777777,1.0,0.35116804822908815,0.9275362318840585,0.18739770867430444,0.5895627644569816,0.75,0.18609453877925655,1.0,0.0,0.5
0.4444444444444445,0.23766459626159803,0.19366993217784478,0.8768115942028984,0.13027823240589198,0.3385049365303244,0.5,0.10601193207893528,0.32596328730065594,1.0,0.75
0.7777777777777777,0.5345896028164059,0.2562170308967596,0.9565217391304355,0.27594108019639935,0.4485190409026798,0.5,0.31206975676916016,0.6178518387778646,0.0,0.25
0.6666666666666665,0.3779491104222498,0.3308214016578749,0.7318840579710155,0.1811783960720131,0.3413258110014104,0.5,0.1773749426342359,1.0,1.0,0.75
0.6666666666666665,0.11526088266746065,0.2712886209495102,0.42753623188405854,0.155810147299509,0.3300423131170663,0.5,0.15787058283616337,0.32596328730065594,1.0,0.5
0.4444444444444445,0.10260537839135492,0.13997739261492087,0.4855072463768124,0.16219312602291328,0.14456981664315938,0.25,0.17049105094079853,0.23981609532205506,1.0,0.5
0.4444444444444445,0.15316478238238446,0.13300678221552373,0.6739130434782616,0.17021276595744683,0.27080394922425954,0.25,0.16200091785222578,0.6178518387778646,1.0,0.5
0.8888888888888888,0.9255155741310195,0.3749058025621703,0.9637681159420293,0.19230769230769232,0.5190409026798307,0.75,0.19458467186782927,1.0,0.0,0.0
0.4444444444444445,0.15316478238238446,0.10889223813112284,0.6521739130434785,0.14926350245499184,0.24823695345557123,0.25,0.13262964662689306,0.6178518387778646,1.0,0.5
0.6666666666666665,0.4168060890957604,0.21853805576488322,0.9710144927536231,0.24451718494271688,0.5923836389280677,0.75,0.2661771454795778,0.6178518387778646,0.0,0.25
0.5555555555555556,0.19074901612310718,0.17313489073097213,0.6376811594202909,0.20507364975450085,0.24823695345557123,0.25,0.21087654887563104,0.6178518387778646,1.0,0.5
0.6666666666666665,0.10260537839135492,0.09796533534287868,0.4130434782608692,0.13617021276595745,0.40620592383638926,0.5,0.11932078935291418,0.11990173231294088,1.0,0.25
0.5555555555555556,0.19074901612310718,0.12622456669178597,0.7101449275362324,0.16432078559738136,0.3385049365303244,0.5,0.15374024782010096,0.6178518387778646,1.0,1.0
0.3333333333333333,0.15316478238238446,0.18123587038432554,0.6884057971014492,0.0,0.3638928067700987,0.5,0.22074346030289124,0.262004968575405,1.0,0.0
0.4444444444444445,0.36714426834065755,0.146948003014318,0.9565217391304355,0.1823240589198036,0.40620592383638926,0.5,0.17898118402937127,0.6178518387778646,1.0,0.5
0.4444444444444445,0.19074901612310718,0.18933685003767897,0.6231884057971016,0.1684124386252046,0.20733427362482368,0.25,0.23061037173015145,0.6178518387778646,1.0,0.75
0.7777777777777777,0.9255155741310195,0.38470233609645815,0.9637681159420293,0.18952536824877253,0.6015514809590973,0.75,0.18907755851307942,1.0,0.0,0.0
0.6666666666666665,0.0,0.14581763376036172,0.42028985507246475,0.10425531914893618,0.19746121297602257,0.25,0.17760440569068378,0.11990173231294088,1.0,0.25
0.7777777777777777,0.4168060890957604,0.2752449133383572,0.9420289855072461,0.29083469721767596,0.37658674188998587,0.5,0.3352455254703993,0.6178518387778646,0.0,0.5
