OverallQual,Neighborhood,GrLivArea,YearBuilt,TotalBsmtSF,GarageArea,GarageCars,1stFlrSF,MSSubClass,ExterQual_TA,GarageYrBlt,FullBath,YearRemodAdd,KitchenQual_TA,TotRmsAbvGrd,ExterQual_Gd,2ndFlrSF,Foundation_PConc,KitchenQual_Gd,BsmtQual_TA,FireplaceQu_None,Fireplaces,LotArea,Exterior2nd,BsmtFinSF1,GarageFinish_Unf,OpenPorchSF,Exterior1st,GarageType_Attchd,HeatingQC_Ex,BsmtUnfSF,BsmtQual_Ex,OverallCond,BsmtFinType1_GLQ,GarageFinish_Fin,GarageType_Detchd,WoodDeckSF,Foundation_CBlock,HeatingQC_TA,KitchenQual_Ex,MSZoning_RM,HalfBath,MasVnrArea,SaleType_New,MasVnrType_None,SaleCondition_Partial,FireplaceQu_Gd,YrSold
0.6666666666666665,0.41604520018392216,0.2592313489073097,0.9492753623188417,0.14009819967266776,0.38645980253878703,0.5,0.11977971546581001,0.2352941176470588,0.0,0.9965174129353234,0.6666666666666666,0.8833333333333329,0.0,0.5,1.0,0.4135593220338983,1.0,1.0,0.0,1.0,0.0,0.03341980415527355,0.8104017950169744,0.12508858965272857,0.0,0.11151736745886655,0.7948559265953155,1.0,1.0,0.06421232876712328,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1225,0.0,0.0,0.0,0.0,0.5
0.5555555555555556,0.3435983402674864,0.17483044461190655,0.7536231884057969,0.2065466448445172,0.3244005641748942,0.5,0.21294171638366224,0.0,1.0,0.9830845771144278,0.6666666666666666,0.43333333333333,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.03879501741101685,0.02799294288153753,0.1732813607370659,0.0,0.0,0.060189260614943896,1.0,1.0,0.12157534246575341,0.0,0.875,0.0,0.0,0.0,0.34772462077012833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25
0.6666666666666665,0.41604520018392216,0.27354935945742276,0.9347826086956523,0.15057283142389527,0.4287729196050776,0.5,0.13446535107847638,0.2352941176470588,0.0,0.9955223880597014,0.6666666666666666,0.8666666666666671,0.0,0.33333333333333337,1.0,0.41937046004842615,1.0,1.0,0.0,0.0,0.3333333333333333,0.04650727990838767,0.8104017950169744,0.08610914245216159,0.0,0.07678244972577697,0.7948559265953155,1.0,1.0,0.1857876712328767,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.10125,0.0,0.0,0.0,0.0,0.5
0.6666666666666665,0.46987379145155644,0.2605501130369254,0.3115942028985508,0.12373158756137481,0.4527503526093089,0.75,0.14387333639284075,0.2941176470588235,1.0,0.9940298507462686,0.3333333333333333,0.3333333333333357,0.0,0.41666666666666663,0.0,0.36610169491525424,0.0,1.0,1.0,0.0,0.3333333333333333,0.0385613124868541,0.16752516685339036,0.03827072997873848,1.0,0.06398537477148081,0.06498114294164359,0.0,0.0,0.23116438356164382,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.7777777777777777,1.0,0.35116804822908815,0.9275362318840585,0.18739770867430444,0.5895627644569816,0.75,0.18609453877925655,0.2352941176470588,0.0,0.9950248756218905,0.6666666666666666,0.8333333333333357,0.0,0.5833333333333334,1.0,0.5099273607748184,1.0,1.0,0.0,0.0,0.3333333333333333,0.06057631634298535,0.8104017950169744,0.11605244507441531,0.0,0.15356489945155394,0.7948559265953155,1.0,1.0,0.20976027397260272,0.0,0.5,1.0,0.0,0.0,0.22403733955659275,0.0,0.0,0.0,0.0,0.5,0.21875,0.0,0.0,0.0,0.0,0.5
0.4444444444444445,0.23874631151761688,0.19366993217784478,0.8768115942028984,0.13027823240589198,0.3385049365303244,0.5,0.10601193207893528,0.17647058823529413,1.0,0.9915422885572138,0.3333333333333333,0.75,1.0,0.24999999999999997,0.0,0.27409200968523,0.0,0.0,0.0,1.0,0.0,0.05989857206291336,0.8104017950169744,0.12969525159461376,1.0,0.054844606946983544,0.7948559265953155,1.0,1.0,0.0273972602739726,0.0,0.5,1.0,0.0,0.0,0.04667444574095682,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.75
0.7777777777777777,0.5326157046837339,0.2562170308967596,0.9565217391304355,0.27594108019639935,0.4485190409026798,0.5,0.31206975676916016,0.0,0.0,0.9970149253731343,0.6666666666666666,0.9166666666666643,0.0,0.41666666666666663,1.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.04105728107691229,0.8104017950169744,0.24255846917080087,0.0,0.10420475319926874,0.7948559265953155,1.0,1.0,0.13570205479452055,1.0,0.5,1.0,0.0,0.0,0.2975495915985997,0.0,0.0,0.0,0.0,0.0,0.11625,0.0,0.0,0.0,1.0,0.25
0.6666666666666665,0.37813370278996755,0.3308214016578749,0.7318840579710155,0.1811783960720131,0.3413258110014104,0.5,0.1773749426342359,0.2352941176470588,1.0,0.981592039800995,0.6666666666666666,0.38333333333333286,1.0,0.41666666666666663,0.0,0.47602905569007264,0.0,0.0,0.0,0.0,0.6666666666666666,0.04245016242492229,0.24418849127694053,0.15219702338766833,0.0,0.37294332723948814,0.21618305825305395,1.0,1.0,0.09246575342465753,0.0,0.625,0.0,0.0,0.0,0.2742123687281213,1.0,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.0,0.75
0.6666666666666665,0.11949368946503774,0.2712886209495102,0.42753623188405854,0.155810147299509,0.3300423131170663,0.5,0.15787058283616337,0.17647058823529413,1.0,0.9606965174129353,0.6666666666666666,0.0,1.0,0.5,0.0,0.3641646489104116,0.0,0.0,1.0,0.0,0.6666666666666666,0.022529154689289302,0.16752516685339036,0.0,1.0,0.0,0.5759788908950851,0.0,0.0,0.40753424657534243,0.0,0.5,0.0,0.0,1.0,0.10501750291715285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
0.4444444444444445,0.10507336756932523,0.13997739261492087,0.4855072463768124,0.16219312602291328,0.14456981664315938,0.25,0.17049105094079853,1.0,1.0,0.9646766169154228,0.3333333333333333,0.0,1.0,0.24999999999999997,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.028605482717520857,0.02799294288153753,0.15077958894401133,0.0,0.007312614259597806,0.060189260614943896,1.0,1.0,0.059931506849315065,0.0,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
